video_id,cleaned_comment
cBpGq-vDr2Y,I love the way he keeps comparing the Porsche and the phone back to back
cBpGq-vDr2Y,Alart If I happen to have 10k likes on this comment would probably give way an iPhone to me
cBpGq-vDr2Y,So I have iPhone 12 Pro Max should I switch it iPhone 15 pro or plus
cBpGq-vDr2Y,829 and bro is talking like it is just the iPhone that doesnt let you use all the performance. Literally every phone can be used for the analogy
cBpGq-vDr2Y,537 why would they build features around the charging port when they were forced to switch it? Come on now
cBpGq-vDr2Y,People have to get it out of their head that a phone NEEDS to have more changes to it than the previous year.
cBpGq-vDr2Y,"Its funny, I have the iPhone 13 Pro Max and Im upgrading on Monday to the 15 pro. I know its a year old now. But I still feel excited for the updates that you are talking about. I actually think I will enjoy the lighter phone and even the smaller screen. Even though I need to buy some type C cables, I think that will be helpful. My Meta glasses, GoPro and MacBook all charged with the same cable."
cBpGq-vDr2Y,Pls I need this iPhone. Who would like to buy for me?
cBpGq-vDr2Y,"Yall know what this man is right this man tell the truth on everything think about it. You spending more money for what all iPhones and androids do the same damn thing excuse my language talk text and take pictures for the people who got a lot of money so yeah, the people trying to get this phone Save up or just keep the same phone you have you decide I listen to you and I hope people will too. Yall think your phone can save the world. Its not talk text thats it. Save your money for your beautiful kids your wife, your girlfriend whoever stop buying these iPhones. Its still the same happy new year God blessno disrespect."
cBpGq-vDr2Y,Apple should bring back the sidekick design from TMobile and use that new I phone
cBpGq-vDr2Y,"Going from a iphone X to a 15 pro, so excited!"
cBpGq-vDr2Y,"Marques says they didn't do anything with USBC except ""one cable for everything""... but then he immediately lists like 5 new capabilities that are enabled by USBC reverse charging, USB peripherals, screen mirroring, record to external storage, faster data transfer. So it's not just ""one cable for everything"" there's a bunch of new stuff you can do now."
cBpGq-vDr2Y,A have an xs max and the battery is changed and its so bad the screen is broken too so thats why im gonna upgrade
cBpGq-vDr2Y,Is the overheating and battery problem still an issue because idk If I should get the 15 pro or 15pro max.
cBpGq-vDr2Y,Love your videos!! What Apple Watch band is he wearing?
cBpGq-vDr2Y,"I know Im late and Ive had a iPhone 15 but Im jumping to 15 Pro. I want the 120hz, and the little bit more ram, and the camera should be a little better the iPhone 15 isnt bad but it hasnt been that EPIC either. Maybe its just my service also. I have visible service and it was great the first month then kinda fell off. Even at my house the WiFi SUCKS ASS and its Xfinity and I cant get my phone to load pics. I dont know whats up! If I dont dig the 15 pro then Ill send it back. But Im hoping I do and then Ill sell my 15 for like 400 and recoup some since the battery is still at 100"
cBpGq-vDr2Y,"Love the energy in this video! MagMirror could be a perfect addition to your setup, offering realtime screen mirroring for precise framing and versatile LED lighting to elevate your visuals. Its portable design and builtin power bank make it a great tool for creators who are always on the go. Keep up the amazing work!"
cBpGq-vDr2Y,my mind is saying i can have it obut my acct is saying no way am a lover of Iphone
