video_id,author,comment,likes,published_at
cBpGq-vDr2Y,@marketahorases,I love the way he keeps comparing the Porsche and the phone back to back,0,2025-02-11T11:02:50Z
cBpGq-vDr2Y,@XYZ-x2p,"Alart 🥶
If I happen to have 10k likes on this comment 
@mkbhd would probably give way an iPhone to me😅",0,2025-02-11T05:05:10Z
cBpGq-vDr2Y,@qu33niemonroe64,So I have iPhone 12 Pro Max should I switch it iPhone 15 pro or plus,1,2025-02-03T02:30:51Z
cBpGq-vDr2Y,@Dylan-i3k2e,8:29 and bro is talking like it is just the iPhone that doesn’t let you use all the performance. Literally every phone can be used for the analogy,0,2025-02-01T03:06:36Z
cBpGq-vDr2Y,@Dylan-i3k2e,5:37 why would they build features around the charging port when they were forced to switch it? Come on now,0,2025-02-01T03:01:46Z
cBpGq-vDr2Y,@Dylan-i3k2e,People have to get it out of their head that a phone NEEDS to have more changes to it than the previous year.,0,2025-02-01T02:57:05Z
cBpGq-vDr2Y,@AdamHassan-z7l,Where can we find the that you featured in this video on the Panels app???,0,2025-01-28T22:32:23Z
cBpGq-vDr2Y,@WaveKing12,5:39 ksa also they banned selling (new) devices that don’t use usb c🎉,1,2025-01-25T07:37:13Z
cBpGq-vDr2Y,@rebeccakalyani2486,"It’s funny, I have the iPhone 13 Pro Max and I’m upgrading on Monday to the 15 pro. I know it’s a year old now. But I still feel excited for the updates that you are talking about. I actually think I will enjoy the lighter phone and even the smaller screen.
 Even though I need to buy some type C cables, I think that will be helpful.  My Meta glasses,  GoPro and MacBook all charged with the same cable.",0,2025-01-24T11:39:13Z
cBpGq-vDr2Y,@Kendolestate,Pls I need this iPhone. Who would like to buy for me?😊❤,1,2025-01-12T17:08:57Z
cBpGq-vDr2Y,@DannyHoward-c1d,"Y’all know what this man is right this man tell the truth on everything think about it. You spending more money for what all iPhones and androids do the same damn thing excuse my language talk text and take pictures for the people who got a lot of money so yeah, the people trying to get this phone Save up or just keep the same phone you have you decide I listen to you and I hope people will too. Y’all think your phone can save the world. It’s not talk text that’s it. Save your money for your beautiful kids your wife, your girlfriend whoever stop buying these iPhones. It’s still the same happy new year God blessno disrespect.",0,2025-01-10T00:33:03Z
cBpGq-vDr2Y,@jimmyjones9265,Apple should bring back the sidekick design from T-Mobile and use that new I phone 😊,0,2025-01-09T19:51:59Z
cBpGq-vDr2Y,@Plumppyyy,oh my god the hindi dubbing is awful please dont use it scared the crap out of me,0,2025-01-06T15:26:45Z
cBpGq-vDr2Y,@MrDerekLS,"Says the dude who drives a 911...., 🤦🏻🤦🏻 fake content creator",0,2025-01-05T11:44:06Z
cBpGq-vDr2Y,@jakejohnston5276,"Going from a iphone X to a 15 pro, so excited!",0,2024-12-31T18:27:43Z
cBpGq-vDr2Y,@Leolikegames,S24+ or this or 15+,0,2024-12-30T12:15:28Z
cBpGq-vDr2Y,@cavemanproductions366,Samsung had usb 3 10 years ago,0,2024-12-28T21:01:20Z
cBpGq-vDr2Y,@JKHYT,"Marques says they didn't do anything with USB-C except ""one cable for everything""... but then he immediately lists like 5 new capabilities that are enabled by USB-C: reverse charging, USB peripherals, screen mirroring, record to external storage, faster data transfer. So it's not just ""one cable for everything"" there's a bunch of new stuff you can do now.",0,2024-12-28T18:32:35Z
cBpGq-vDr2Y,@muhammed-1426,"5:06, is the C shaped Light on the background intentional? XD",0,2024-12-27T11:39:50Z
cBpGq-vDr2Y,@EXR1USS,A have an xs max and the battery 🔋 is changed and its so bad the screen is broken too so thats why im gonna upgrade,1,2024-12-21T08:15:05Z
cBpGq-vDr2Y,@NoInternet215,IM GETTIN THE 15 PRO FOR CHRISTMAS!,1,2024-12-14T21:15:23Z
cBpGq-vDr2Y,@Zeotheman01,Is the overheating and battery problem still an issue because idk If I should get the 15 pro or 15pro max.,0,2024-12-11T05:11:36Z
cBpGq-vDr2Y,@talhamukaddam5597,Love your videos!! What Apple Watch band is he wearing?,0,2024-12-09T22:05:07Z
cBpGq-vDr2Y,@jamesonyendrembam379,""" C """,0,2024-12-08T02:07:10Z
cBpGq-vDr2Y,@thetattooedguy1413,"I know I’m late and I’ve had a iPhone 15 but I’m jumping to 15 Pro. I want the 120hz, and the little bit more ram, and the camera “should be a little better” - the iPhone 15 isn’t bad but it hasn’t been that EPIC either. Maybe it’s just my service also. I have visible service and it was great the first month then kinda fell off. Even at my house the WiFi SUCKS ASS ( and it’s Xfinity ) and I can’t get my phone to load pics. I don’t know what’s up! If I don’t dig the 15 pro then I’ll send it back. But I’m hoping I do and then I’ll sell my 15 for like $400 and recoup some $$$ since the battery is still at 100%",0,2024-12-07T20:41:03Z
cBpGq-vDr2Y,@MagMirror,"Love the energy in this video! MagMirror could be a perfect addition to your setup, offering real-time screen mirroring for precise framing and versatile LED lighting to elevate your visuals. Its portable design and built-in power bank make it a great tool for creators who are always on the go. Keep up the amazing work!",1,2024-12-05T07:38:19Z
cBpGq-vDr2Y,@MrBloodwing,is it whort to level up to 15 pro if i have a 13,0,2024-11-30T17:51:47Z
cBpGq-vDr2Y,@jeager_07,"Ok , but i dont want hindi audio  in this video.",0,2024-11-28T19:51:42Z
cBpGq-vDr2Y,@adaugoasugha1985,"my mind is saying i can have it o
but my acct is saying no way 😢 am a lover of Iphone",0,2024-11-26T23:05:46Z
cBpGq-vDr2Y,@p.r.e.p.p.y_vlogs_5313,I just purchased one and have seen this article when already purchased so wondering if the overheating is still an issue in November 2024 or has this been solved by a software update,1,2024-11-26T18:43:36Z
